"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"24" 145 35 "El Hierro" "Island" -18.006624 27.746526 273.523575 1 1 1 383.073 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 1.1 314 357 17.67989 196.22346 0.94906 39.65456 41.43252 26.41092 1381 "nfix" 1
"25" 146 33 "La Palma" "Island" -17.858329 28.68988 716.459265 1 1 1 416.923 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 1.7 382 480 15.71729 395.86233 1.31534 118.61195 43.66104 28.04589 2310 "nfix" 5
"26" 147 38 "La Gomera" "Island" -17.232609 28.117411 372.206221 1 1 1 335.136 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 12 396 469 17.76558 302.68635 1.04435 58.85057 39.61687 25.2963 1375 "nfix" 2
"27" 148 44 "Tenerife" "Island" -16.55631 28.291062 2040.135344 1 1 1 288.476 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 8 584 826 15.62921 389.02039 5.81894 431.48227 54.34285 34.85837 3470 "nfix" 9
"28" 149 41 "Gran Canaria" "Island" -15.593194 27.954821 1571.354319 1 1 1 196.361 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 14.5 498 763 17.6627 198.11598 9.14712 541.62845 51.82425 33.08467 1863 "nfix" 12
"29" 150 38 "Fuerteventura" "Island" -14.036486 28.406106 1669.884763 1 1 1 96.535 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 20 337 404 19.4456 120.48866 1.85993 61.83648 39.37567 25.13113 621 "nfix" 1
"30" 151 35 "Lanzarote" "Island" -13.641825 29.024478 818.571266 1 1 1 126.425 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 16 312 380 19.24986 138.1107 4.11857 169.11037 52.43944 33.35206 616 "nfix" 0
"31" 152 1 "West Falkland" "Island" -60.111132 -51.750925 4595.077815 1 1 1 498.423 "ANTARCTIC" "Temperate Grasslands, Savannas & Shrublands" "nondev" NA 154 NA 6.48784 611.74227 0.00018 0.02883 15.94073 9.55978 636 "nfix" 0
"32" 153 1 "East Falkland" "Island" -58.75274 -51.740234 6590.034125 1 1 1 588.905 "ANTARCTIC" "Temperate Grasslands, Savannas & Shrublands" "nondev" NA 152 NA 6.47784 617.28776 0.00138 0.36913 16.48773 9.9429 647 "nfix" 0
"33" 154 1 "Darwin" "Island" -91.999868 1.649977 1.436709 1 1 1 1149.841 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 15 3 24.05 1730.25 0 NA NA NA 120 "nfix" 0
"34" 155 10 "Española" "Island" -89.678704 -1.378399 64.114232 1 1 1 961.519 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 3.31 104 25 23.07907 864.31395 0.00162 0.60248 NA NA 174 "nfix" 0
"35" 156 10 "Fernandina" "Island" -91.512937 -0.385734 649.105928 1 1 1 1167.044 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 145 24 21.59128 803.78203 7e-05 0.03622 NA NA 1427 "nfix" 0
"36" 157 15 "Floreana" "Island" -90.435291 -1.293603 178.028984 1 1 1 1044.002 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1 211 150 22.47837 889.54808 0.00101 0.60248 NA NA 402 "nfix" 0
"37" 158 4 "Genovesa" "Island" -89.956761 0.325229 15.38316 1 1 1 1015.832 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.3 49 7 23.75625 1003.0625 0.00178 0.60248 NA NA 61 "nfix" 0
"38" 159 18 "Isabela" "Island" -91.184344 -0.559293 4726.573482 1 1 1 1098.298 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 279 200 21.6529 798.92386 0.00578 0.45339 NA NA 1633 "nfix" 0
"39" 160 5 "Marchena" "Island" -90.475747 0.332085 131.92636 1 1 1 1067.098 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.3 49 2 23.30191 997.71975 0.00129 2.48918 NA NA 257 "nfix" 0
"40" 161 12 "Pinta" "Island" -90.757025 0.586845 60.330784 1 1 1 1105.929 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 140 23 23.20215 1055.89247 0.0012 1.79409 NA NA 559 "nfix" 0
"41" 162 11 "Pinzón" "Island" -90.665791 -0.610811 18.069175 1 1 1 1084.075 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.1 107 10 22.71613 841.70968 0.00103 1.79409 NA NA 388 "nfix" 0
"42" 163 20 "San Cristóbal" "Island" -89.43056 -0.826798 559.977664 1 1 1 927.687 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 2.35 237 225 22.70765 905.32722 0.08499 15.4122 NA NA 644 "nfix" 0
"43" 164 20 "Santa Cruz, Galapagos" "Island" -90.358406 -0.627248 987.094158 1 1 1 1031.632 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.1 314 274 22.50891 821.12457 0.10561 18.42571 NA NA 787 "nfix" 0
"44" 165 9 "Santa Fé" "Island" -90.058774 -0.818429 25.151602 1 1 1 1014.28 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 3.9 72 9 23.04651 865.51163 0.0011 0.60248 NA NA 190 "nfix" 0
"45" 166 19 "Santiago, Galapagos" "Island" -90.712546 -0.266245 577.099751 1 1 1 1075.448 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 233 69 22.5064 845.80804 0.00058 2.48918 NA NA 865 "nfix" 0
"46" 167 3 "Wolf" "Island" -91.8191 1.382373 2.202581 1 1 1 1161.127 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.72 26 3 24.28182 1312.45455 0 0.03622 NA NA 31 "nfix" 0
